"idproducto","barra","descripcion"
849,"7594259556041","BOLSA GLOBOS EL MEXICANO 7""*50PZAS MATE"
849,"7594259556058","BOLSA GLOBOS EL MEXICANO 7""*50PZAS MATE"
849,"7594259556119","BOLSA GLOBOS EL MEXICANO 7""*50PZAS MATE"
877,BP12,BASE HIERRO COLUMNAS 2 PZ BP12
878,BP13,BASE HIERRO MANPARA 1 PZ BP13
879,BP14,BASE HIERRO HEXAGONAL 1 PZ BP14
880,BP15,BASE HIERRO CUADRADO 1 PZ 215CM * 205CM BP15
681,CZS060,MOÑO FACIL CZ-S-060
592,D11,BROCHETA 30 CM
531,f1086328321019,LETRERO GLOBOS LOVE Y/O TE AMO CURSIVO 70 X 56 CM GDE
582,HT508,INFLADOR ELECTRICO (AZUL 110 V - 700W) HT-508
582,HT-508,INFLADOR ELECTRICO (AZUL 110 V - 700W) HT-508
584,HW-1289,SET DE GLOBOS LATEX HOUSE ANJILA (ORGANICA)
584,HW-1290,SET DE GLOBOS LATEX HOUSE ANJILA (ORGANICA)
641,L16,"GLOBO DE NUMERO CHICO 16"""
640,L32,"GLOBO DE NUMERO MEDIANO 32"""
639,L40,"GLOBO DE NUMERO JUMBO 40"""
713,"6920192011315",BANDERINES TRIANGULO
713,"6920192017898",BANDERINES TRIANGULO
693,"6920211208115",MARIPOSAS DECORATIVAS
758,"6920220070000",CORTINAS METALICAS
713,"6920792017298",BANDERINES TRIANGULO
659,"6924521520028",INFLADOR MANUAL IMPORT
616,"6924521631519",PISTOLA DE SILICON CHICA MODEL: BT1436
614,"6926351720159","SET DE GLOBOS 5 PIEZAS (5 METALICOS COMUNION, CORONA, CUMPLEAÑOS, GRADUACION)"
597,"6931376173033",MAGIC BALLOONS Y/O GLOBO DE AGUA 111 PZAS (B-314)
598,"6931985327155",SET DE GLOBOS 5 PIEZAS (5 METALICOS) PERSONAJES
598,"6931999654162",SET DE GLOBOS 5 PIEZAS (5 METALICOS) PERSONAJES
598,"6931999654186",SET DE GLOBOS 5 PIEZAS (5 METALICOS) PERSONAJES
606,"6934225811278",CINTA DOBLE CARA 20MTS*48MM
586,"6934873549066",QUIAO HAPPY FLOAT ABRILLANTADOR 450 ML
671,"6936008600086",PARTY POPPER Y/O CAÑON CHICO 30 CM
723,"6936009865248",PARTY POPPER Y/O CAÑON 60 CM
555,"6941075522087",MARCADOR Y/O PLUMON PARA GLOBOS X 12 PZ DL-208
635,"6941512860116",SET DE GLOBOS 5 PIEZAS (5 METALICOS)
756,"6942046005059",BOLSA REGALO XXL TODA OCACION
836,"6942472107107","BOLSA GLOBOS TONGXUAN/PARTY 12""X100 PZAS MATE"
836,"6942472107112","BOLSA GLOBOS TONGXUAN/PARTY 12""X100 PZAS MATE"
836,"6942472107118","BOLSA GLOBOS TONGXUAN/PARTY 12""X100 PZAS MATE"
836,"6942472107120","BOLSA GLOBOS TONGXUAN/PARTY 12""X100 PZAS MATE"
836,"6942472107121","BOLSA GLOBOS TONGXUAN/PARTY 12""X100 PZAS MATE"
836,"6942472107128","BOLSA GLOBOS TONGXUAN/PARTY 12""X100 PZAS MATE"
836,"6942472107134","BOLSA GLOBOS TONGXUAN/PARTY 12""X100 PZAS MATE"
836,"6942472107146","BOLSA GLOBOS TONGXUAN/PARTY 12""X100 PZAS MATE"
836,"6942472107148","BOLSA GLOBOS TONGXUAN/PARTY 12""X100 PZAS MATE"
836,"6942472107149","BOLSA GLOBOS TONGXUAN/PARTY 12""X100 PZAS MATE"
836,"6942472107157","BOLSA GLOBOS TONGXUAN/PARTY 12""X100 PZAS MATE"
836,"6942472107158","BOLSA GLOBOS TONGXUAN/PARTY 12""X100 PZAS MATE"
715,"6954357375356",MANTEL METALICO
591,"6956288663250",BROCHETA 25 CM
543,"6957969107605",MARCADOR Y/O PLUMON PARA GLOBOS X 8 PZ QR-760-8
719,"6958481900286",LETRERO CARTON FELIZ CUMPLEAÑOS SUAJADO
713,"6958481930108",BANDERINES TRIANGULO
719,"6971374790009",LETRERO CARTON FELIZ CUMPLEAÑOS SUAJADO
713,"6972534150046",BANDERINES TRIANGULO
741,"6972785410012",BOLSA REGALO GRANDE TODA OCACION
742,"6972785410029",BOLSA REGALO MEDIANA TODA OCACION
741,"6972785410050",BOLSA REGALO GRANDE TODA OCACION
751,"6972785410234",BOLSA REGALO XL TODA OCACION
756,"6972785410265",BOLSA REGALO XXL TODA OCACION
751,"6974583733690",BOLSA REGALO XL TODA OCACION
715,"6974588956452",MANTEL METALICO
694,"6978514221034",VELAS DE HUMO CON LUZ FRIA
855,"7494258800353","BOLSA GLOBOS DECORO GLOBOS 18""X25 PZAS"
811,"7494258800360","BOLSA GLOBOS CHROME DECORO GLOBOS 5""*50 PZAS"
810,"7494258800520","BOLSA GLOBOS DECORO GLOBOS 10""X100 PZAS"
812,"7494258800858","BOLSA GLOBOS CHROME DECORO GLOBOS 10""*50 PZAS"
812,"7494258800872","BOLSA GLOBOS CHROME DECORO GLOBOS 10""*50 PZAS"
812,"7494258800889","BOLSA GLOBOS CHROME DECORO GLOBOS 10""*50 PZAS"
812,"7494258800896","BOLSA GLOBOS CHROME DECORO GLOBOS 10""*50 PZAS"
812,"7494258800902","BOLSA GLOBOS CHROME DECORO GLOBOS 10""*50 PZAS"
812,"7494258800919","BOLSA GLOBOS CHROME DECORO GLOBOS 10""*50 PZAS"
812,"7494258800926","BOLSA GLOBOS CHROME DECORO GLOBOS 10""*50 PZAS"
812,"7494258800933","BOLSA GLOBOS CHROME DECORO GLOBOS 10""*50 PZAS"
812,"7494258800964","BOLSA GLOBOS CHROME DECORO GLOBOS 10""*50 PZAS"
812,"7494258800988","BOLSA GLOBOS CHROME DECORO GLOBOS 10""*50 PZAS"
854,"7494258800995","BOLSA GLOBOS DECORO GLOBOS 12""X100 PZAS"
854,"7494258801008","BOLSA GLOBOS DECORO GLOBOS 12""X100 PZAS"
854,"7494258801022","BOLSA GLOBOS DECORO GLOBOS 12""X100 PZAS"
854,"7494258801039","BOLSA GLOBOS DECORO GLOBOS 12""X100 PZAS"
854,"7494258801053","BOLSA GLOBOS DECORO GLOBOS 12""X100 PZAS"
854,"7494258801060","BOLSA GLOBOS DECORO GLOBOS 12""X100 PZAS"
854,"7494258801077","BOLSA GLOBOS DECORO GLOBOS 12""X100 PZAS"
854,"7494258801091","BOLSA GLOBOS DECORO GLOBOS 12""X100 PZAS"
854,"7494258801107","BOLSA GLOBOS DECORO GLOBOS 12""X100 PZAS"
854,"7494258801114","BOLSA GLOBOS DECORO GLOBOS 12""X100 PZAS"
854,"7494258801121","BOLSA GLOBOS DECORO GLOBOS 12""X100 PZAS"
854,"7494258801138","BOLSA GLOBOS DECORO GLOBOS 12""X100 PZAS"
854,"7494258801145","BOLSA GLOBOS DECORO GLOBOS 12""X100 PZAS"
854,"7494258801152","BOLSA GLOBOS DECORO GLOBOS 12""X100 PZAS"
